Qubit,T1 (us),T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),rx Error,rz Error,sx Error,x Error,cz Error,Gate Length (ns),rzz Error
0,359.800395278,65.5519160611701,0.02294921875,0.001220703125,36,0.000523877576328375,0,0.000523877576328375,0.000523877576328375,1:0.0016683128164256822,1:68,1:0.0015689872294488705
1,181.647191055955,171.286179210194,0.007080078125,0.0009765625,36,0.000226808885373286,0,0.000226808885373286,0.000226808885373286,2:0.001270839891133052;0:0.0016683128164256822,2:68;0:68,2:0.0015012439248028309;0:0.0015689872294488705
2,402.727803816067,333.27654147441,0.00732421875,0.00146484375,36,0.000147735501965542,0,0.000147735501965542,0.000147735501965542,1:0.001270839891133052;3:0.0011510530522233775,1:68;3:68,1:0.0015012439248028309;3:0.0008773424333032298
3,257.059732182965,227.194898110249,0.007568359375,0.0068359375,36,0.000184395504069722,0,0.000184395504069722,0.000184395504069722,16:0.0019309847999907093;2:0.0011510530522233775;4:0.001816350072652989,16:68;2:68;4:80,16:0.0018351159638630432;2:0.0008773424333032298;4:0.0013595966453389119
4,187.89845573684,184.651008449586,0.019287109375,0.00048828125,36,0.00018983928434762,0,0.00018983928434762,0.00018983928434762,3:0.001816350072652989;5:0.0021640402384338897,3:80;5:68,3:0.0013595966453389119;5:0.001955583067185185
5,233.458972085411,198.01285507238,0.0107421875,0.003662109375,36,0.00022821690405105,0,0.00022821690405105,0.00022821690405105,6:0.0017121601352125815;4:0.0021640402384338897,6:68;4:68,6:0.0020450457004928813;4:0.001955583067185185
6,255.454788686513,236.951378639876,0.006103515625,0.001708984375,36,0.000227846982769774,0,0.000227846982769774,0.000227846982769774,5:0.0017121601352125815;7:0.0010743139407733693,5:68;7:68,5:0.0020450457004928813;7:0.0013202343715080223
7,304.915678358453,134.253767729621,0.00634765625,0.0009765625,36,0.000181181697896961,0,0.000181181697896961,0.000181181697896961,17:0.0012601908038942788;6:0.0010743139407733693;8:0.002808622608596323,17:68;6:68;8:80,17:0.001461107233771075;6:0.0013202343715080223;8:0.002146454438761325
8,151.666736182574,89.1604607957735,0.0107421875,0.000244140625,36,0.000161638551586259,0,0.000161638551586259,0.000161638551586259,9:0.002757955969204806;7:0.002808622608596323,9:68;7:80,9:0.0017287637659548771;7:0.002146454438761325
9,173.426414815439,198.801266752269,0.082275390625,0.169189453125,36,0.000229640505882564,0,0.000229640505882564,0.000229640505882564,8:0.002757955969204806;10:0.0011829594115645437,8:68;10:68,8:0.0017287637659548771;10:0.0012815933479430608
