Qubit,T1 (us),T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
10,274.30781741694256,140.93246089195927,0.01123046875,0.005859375,36,0.00027326119305895544,0.00027326119305895544,0,0.00027326119305895544,9:68;11:68,9:0.0011829594115645437;11:0.0013798144098166598,9:0.0012815933479430608;11:0.0010333210767874135
11,256.4837203597445,170.24428729995708,0.030029296875,0.038330078125,36,0.0003651182611255874,0.0003651182611255874,0,0.0003651182611255874,18:68;10:68;12:68,18:0.0016393759261666419;10:0.0013798144098166598;12:0.0011724068055848358,18:0.001270637310321926;10:0.0010333210767874135;12:0.0010931945133870469
12,292.19220918842615,163.50568165905264,0.008544921875,0.001953125,36,0.0002565707571138863,0.0002565707571138863,0,0.0002565707571138863,13:80;11:68,13:0.0013873691479655559;11:0.0011724068055848358,13:0.0011860318572671502;11:0.0010931945133870469
13,167.9468628421635,191.54081829655485,0.017333984375,0.02587890625,36,0.00022667272858131502,0.00022667272858131502,0,0.00022667272858131502,12:80;14:80,12:0.0013873691479655559;14:0.0012395746827584542,12:0.0011860318572671502;14:0.0014657768989454478
14,301.9337836967539,117.93205569146423,0.012451171875,0.001953125,36,0.00026532395014299757,0.00026532395014299757,0,0.00026532395014299757,15:68;13:80,15:0.0014972642983027418;13:0.0012395746827584542,15:0.0011987807956905239;13:0.0014657768989454478
15,215.3290832704496,27.458413728504688,0.026611328125,0.001220703125,36,0.00013827116371080037,0.00013827116371080037,0,0.00013827116371080037,14:68;19:68,14:0.0014972642983027418;19:0.001410199307690263,14:0.0011987807956905239;19:0.0011206994171505391
16,66.15670786691446,38.840801197585144,0.015380859375,0.0009765625,36,0.00035342206418300797,0.00035342206418300797,0,0.00035342206418300797,23:68;3:68,23:0.002349757812394687;3:0.0019309847999907093,23:0.002366300851620845;3:0.0018351159638630432
17,183.04666874163948,9.51941642078416,0.009765625,0.0009765625,36,0.0006199761915320191,0.0006199761915320191,0,0.0006199761915320191,7:68;27:68,7:0.0012601908038942788;27:0.0025893975408997905,7:0.001461107233771075;27:0.002577540505669468
18,90.04373800045822,62.94524358966805,0.020751953125,0.017333984375,36,0.0006002526323605707,0.0006002526323605707,0,0.0006002526323605707,11:68;31:68,11:0.0016393759261666419;31:0.0024807146380136924,11:0.001270637310321926;31:0.0022449952298849996
19,98.69964270157678,65.75569239037208,0.0087890625,0.001220703125,36,0.0002332648691134832,0.0002332648691134832,0,0.0002332648691134832,35:80;15:68,35:0.002020884782389598;15:0.001410199307690263,35:0.002111231852587686;15:0.0011206994171505391
20,141.78244017445692,52.63713648535917,0.014404296875,0.0009765625,36,0.0002943591270836255,0.0002943591270836255,0,0.0002943591270836255,21:68,21:0.0029805820140611505,21:0.002560080454534902
21,342.09844956748094,201.8936386329079,0.007080078125,0.00048828125,36,0.00020437087296775166,0.00020437087296775166,0,0.00020437087296775166,36:68;20:68;22:68,36:0.003022340153674391;20:0.0029805820140611505;22:0.0019725167446764946,36:0.003363310473137482;20:0.002560080454534902;22:0.002442320458684033
22,236.8942864790058,34.454729275066256,0.0478515625,0.00927734375,36,0.00020510967276592037,0.00020510967276592037,0,0.00020510967276592037,23:68;21:68,23:0.002359438934908087;21:0.0019725167446764946,23:0.0022723273793555376;21:0.002442320458684033
23,253.3476352870612,181.16376103163142,0.052001953125,0.00927734375,36,0.00015966728440079737,0.00015966728440079737,0,0.00015966728440079737,22:68;24:68;16:68,22:0.002359438934908087;24:0.0042266117890664145;16:0.002349757812394687,22:0.0022723273793555376;24:0.0029454740778322164;16:0.002366300851620845
24,162.48832436652725,47.97556249035021,0.0498046875,0.0009765625,36,0.0004378605686321035,0.0004378605686321035,0,0.0004378605686321035,23:68;25:68,23:0.0042266117890664145;25:0.003317856734823099,23:0.0029454740778322164;25:0.003158181519352654
25,84.27337025396744,32.81849364504875,0.015625,0.005126953125,36,0.0005642534924671758,0.0005642534924671758,0,0.0005642534924671758,24:68;26:68;37:68,24:0.003317856734823099;26:0.012325841024550643;37:0.0038778164772649004,24:0.003158181519352654;26:0.014173983701871867;37:0.003814279694266537
26,7.184360898437684,6.953874050557257,0.076416015625,0.001708984375,36,0.0027929526556730658,0.0027929526556730658,0,0.0027929526556730658,25:68;27:68,25:0.012325841024550643;27:0.012571860226836568,25:0.014173983701871867;27:0.014317289449877368
27,140.54503744940828,168.27029748828068,0.01171875,0.000244140625,36,0.0002001557062978903,0.0002001557062978903,0,0.0002001557062978903,26:68;28:68;17:68,26:0.012571860226836568;28:0.0022938150711615812;17:0.0025893975408997905,26:0.014317289449877368;28:0.0024320094082587174;17:0.002577540505669468
28,208.1871302010453,165.68148021975597,0.035888671875,0.006103515625,36,0.00042392483602156844,0.00042392483602156844,0,0.00042392483602156844,27:68;29:68,27:0.0022938150711615812;29:0.0033577790066746105,27:0.0024320094082587174;29:0.0020777949873457546
29,53.611459427109054,69.81833505486077,0.0576171875,0.114501953125,36,0.0006686382185031207,0.0006686382185031207,0,0.0006686382185031207,38:68;28:68;30:68,38:0.0026188794276775784;28:0.0033577790066746105;30:0.0019363268784863552,38:0.0024988507458445497;28:0.0020777949873457546;30:0.0018948712635281084
30,261.842311326504,77.52968952893045,0.032958984375,0.005615234375,36,0.0003008739918891592,0.0003008739918891592,0,0.0003008739918891592,31:68;29:68,31:0.0024568826007594635;29:0.0019363268784863552,31:0.002138989510658995;29:0.0018948712635281084
31,170.00079483587655,72.55750491581463,0.03515625,0.061767578125,36,0.0003773696827250927,0.0003773696827250927,0,0.0003773696827250927,30:68;32:68;18:68,30:0.0024568826007594635;32:0.0029622094699369994;18:0.0024807146380136924,30:0.002138989510658995;32:0.0025917580796530892;18:0.0022449952298849996
32,168.6616129773021,54.21266063869901,0.00732421875,0.00244140625,36,0.0003680124542238665,0.0003680124542238665,0,0.0003680124542238665,31:68;33:68,31:0.0029622094699369994;33:0.0018983696793904437,31:0.0025917580796530892;33:0.0020600526188777613
33,110.08932270389045,112.59631667003637,0.016845703125,0.0029296875,36,0.0004576124264372067,0.0004576124264372067,0,0.0004576124264372067,39:68;32:68;34:68,39:0.0016904146732451553;32:0.0018983696793904437;34:0.0012525112670622451,39:0.12998080652269992;32:0.0020600526188777613;34:0.0014385020272051352
34,197.41149194382973,163.383727793418,0.0126953125,0.00048828125,36,0.0005707988075847467,0.0005707988075847467,0,0.0005707988075847467,33:68;35:68,33:0.0012525112670622451;35:0.0018652577970819095,33:0.0014385020272051352;35:0.0017987823794433366
35,281.3766215055536,457.5283963353661,0.009521484375,0.007080078125,36,0.00011158866398139058,0.00011158866398139058,0,0.00011158866398139058,19:80;34:68,19:0.002020884782389598;34:0.0018652577970819095,19:0.002111231852587686;34:0.0017987823794433366
36,210.56752672133044,93.16249062583975,0.017822265625,0.003662109375,36,0.0017256926147179255,0.0017256926147179255,0,0.0017256926147179255,41:68;21:68,41:0.0032602497505486994;21:0.003022340153674391,41:0.0027592000605108635;21:0.003363310473137482
37,174.20685557235964,20.514236601891845,0.088134765625,0.0556640625,36,0.0007317033773250281,0.0007317033773250281,0,0.0007317033773250281,45:68;25:68,45:0.004052317352922025;25:0.0038778164772649004,45:0.003531238829247413;25:0.003814279694266537
38,109.26097666609067,28.003150724159685,0.021484375,0.004150390625,36,0.00044306738585727767,0.00044306738585727767,0,0.00044306738585727767,29:68;49:68,29:0.0026188794276775784;49:0.0025145114935969937,29:0.0024988507458445497;49:0.002238895404575142
39,175.4875840546929,140.93364051835655,0.05615234375,0.0400390625,36,0.00016396812444515442,0.00016396812444515442,0,0.00016396812444515442,53:68;33:68,53:0.0016741278219453704;33:0.0016904146732451553,53:0.0016666876278957632;33:0.12998080652269992
40,183.25578048725478,99.54312244034726,0.055908203125,0.001708984375,36,0.00017212859637161902,0.00017212859637161902,0,0.00017212859637161902,41:68,41:0.12736938212920157,41:0.09777406473452982
41,217.28057501214968,37.26631017681192,0.017822265625,0.00146484375,36,0.0007448941373987636,0.0007448941373987636,0,0.0007448941373987636,40:68;42:68;36:68,40:0.12736938212920157;42:0.004136384697646989;36:0.0032602497505486994,40:0.09777406473452982;42:0.014531327652636261;36:0.0027592000605108635
42,220.45656252669207,52.79964757735824,0.013916015625,0.003173828125,36,0.00035253578072015184,0.00035253578072015184,0,0.00035253578072015184,41:68;43:68,41:0.004136384697646989;43:0.008015525427826214,41:0.014531327652636261;43:0.003339282698586299
43,178.801946899387,82.02763168638693,0.128662109375,0.009765625,36,0.0003440832514356921,0.0003440832514356921,0,0.0003440832514356921,42:68;56:68;44:68,42:0.008015525427826214;56:0.0025197421718280433;44:0.0012460631042957582,42:0.003339282698586299;56:0.002070239325430129;44:0.0022610944089386242
44,106.76108804657589,94.03377064685439,0.02490234375,0.00830078125,36,0.000295425274307797,0.000295425274307797,0,0.000295425274307797,45:68;43:68,45:0.0022306674179581876;43:0.0012460631042957582,45:0.002221556336411218;43:0.0022610944089386242
45,101.0277368538645,99.15043344359412,0.05859375,0.002685546875,36,0.0002709730186196119,0.0002709730186196119,0,0.0002709730186196119,44:68;46:68;37:68,44:0.0022306674179581876;46:0.0035263517202054617;37:0.004052317352922025,44:0.002221556336411218;46:0.003279361277252729;37:0.003531238829247413
46,206.37065726430853,128.4707974944179,0.033203125,0.001953125,36,0.000252929556343467,0.000252929556343467,0,0.000252929556343467,45:68;47:68,45:0.0035263517202054617;47:0.002671547296463961,45:0.003279361277252729;47:0.0026384268969721347
47,191.65566348543723,91.27470478730434,0.028564453125,0.0400390625,36,0.00019957733626409376,0.00019957733626409376,0,0.00019957733626409376,48:68;57:68;46:68,48:0.010652498378997677;57:0.001337819277650254;46:0.002671547296463961,48:0.011803035978999232;57:0.001837078608451559;46:0.0026384268969721347
48,221.70016806231516,199.29063418992743,0.164306640625,0.056884765625,36,0.00272869102988103,0.00272869102988103,0,0.00272869102988103,47:68;49:68,47:0.010652498378997677;49:0.011236301252336628,47:0.011803035978999232;49:0.012026408750981876
49,110.88790372391091,80.4074343699747,0.186767578125,0.021484375,36,0.0005977369157301079,0.0005977369157301079,0,0.0005977369157301079,48:68;50:68;38:68,48:0.011236301252336628;50:0.0025732756865739226;38:0.0025145114935969937,48:0.012026408750981876;50:0.003063876834783763;38:0.002238895404575142
50,193.282728077714,177.98920946116016,0.031005859375,0.003662109375,36,0.00023823761447219806,0.00023823761447219806,0,0.00023823761447219806,49:68;51:68,49:0.0025732756865739226;51:0.002295818138912248,49:0.003063876834783763;51:0.002823451649870745
51,233.21010924515005,376.73667948178326,0.05322265625,0.061767578125,36,0.0006900286450789428,0.0006900286450789428,0,0.0006900286450789428,50:68;52:68;58:68,50:0.002295818138912248;52:0.001633022504677728;58:0.0011594539740475696,50:0.002823451649870745;52:0.0016881769232237054;58:0.003927530176708133
52,114.11129981120598,112.40291158260811,0.026123046875,0.010986328125,36,0.0008128226365317274,0.0008128226365317274,0,0.0008128226365317274,51:68;53:68,51:0.001633022504677728;53:0.0020088988779820294,51:0.0016881769232237054;53:0.0016042544803650804
53,198.86096787159929,196.54265922040275,0.010009765625,0.004638671875,36,0.0002427051861342607,0.0002427051861342607,0,0.0002427051861342607,39:68;52:68;54:68,39:0.0016741278219453704;52:0.0020088988779820294;54:0.0013834564288414397,39:0.0016666876278957632;52:0.0016042544803650804;54:0.0017135841780117622
54,293.19160152422904,187.96569402860732,0.010009765625,0.00146484375,36,0.00012402325669724114,0.00012402325669724114,0,0.00012402325669724114,53:68;55:68,53:0.0013834564288414397;55:0.002171424646319725,53:0.0017135841780117622;55:0.0018983314296464049
55,141.63343842814356,56.875385297517404,0.016845703125,0.010986328125,36,0.00014841358607264516,0.00014841358607264516,0,0.00014841358607264516,59:68;54:68,59:0.00371632336767988;54:0.002171424646319725,59:0.0025840862998941228;54:0.0018983314296464049
56,251.9709494349684,57.40527078132838,0.02587890625,0.0029296875,36,0.00037892493512940695,0.00037892493512940695,0,0.00037892493512940695,63:68;43:68,63:0.00315770894893469;43:0.0025197421718280433,63:0.0031729607795393244;43:0.002070239325430129
57,246.92631276960185,230.1809360659368,0.01318359375,0.0029296875,36,0.00029566551534699205,0.00029566551534699205,0,0.00029566551534699205,47:68;67:68,47:0.001337819277650254;67:0.002155396255296871,47:0.001837078608451559;67:0.002443027557046229
58,202.48011830503174,206.10578635380944,0.0322265625,0.022705078125,36,0.00014386992034511406,0.00014386992034511406,0,0.00014386992034511406,71:68;51:68,71:0.0017271178722420566;51:0.0011594539740475696,71:0.0038240091788787622;51:0.003927530176708133
59,148.1173362774247,90.81589885105457,0.051025390625,0.004638671875,36,0.00027909319726126576,0.00027909319726126576,0,0.00027909319726126576,55:68;75:68,55:0.00371632336767988;75:0.0014460177913153682,55:0.0025840862998941228;75:0.0018830164602325894
60,180.39970322606513,120.56445564099579,0.03125,0.05029296875,36,0.00028457306666026036,0.00028457306666026036,0,0.00028457306666026036,61:80,61:0.007965605203061471,61:0.02447163941468053
61,220.03263697950877,173.40126010781077,0.02099609375,0.01123046875,36,0.000194299594819565,0.000194299594819565,0,0.000194299594819565,76:68;60:80;62:68,76:0.0019220285696018857;60:0.007965605203061471;62:0.002716786928701226,76:0.0023847326078840214;60:0.02447163941468053;62:0.0038175204097544158
62,168.37232507345047,85.83393282522954,0.214111328125,0.03076171875,36,0.0003306355026423415,0.0003306355026423415,0,0.0003306355026423415,61:68;63:68,61:0.002716786928701226;63:0.0022979270205771285,61:0.0038175204097544158;63:0.002795785512738014
63,207.8823362486397,198.2642460514653,0.033203125,0.007080078125,36,0.00023704160655909943,0.00023704160655909943,0,0.00023704160655909943,56:68;62:68;64:68,56:0.00315770894893469;62:0.0022979270205771285;64:0.003644075492376525,56:0.0031729607795393244;62:0.002795785512738014;64:0.0038579357265220715
64,131.8840158823698,100.95007502855371,0.01171875,0.0029296875,36,0.0005275512113611115,0.0005275512113611115,0,0.0005275512113611115,65:68;63:68,65:0.00320896045436464;63:0.003644075492376525,65:0.004483215937898105;63:0.0038579357265220715
65,217.69337215933083,67.42160300498404,0.19287109375,0.00048828125,36,0.00018250344717374894,0.00018250344717374894,0,0.00018250344717374894,64:68;66:68;77:68,64:0.00320896045436464;66:0.0032642192133001124;77:0.0022045129778301975,64:0.004483215937898105;66:0.0021057455768131728;77:0.0020022044245742443
66,108.71744508922163,55.7831685859528,0.02587890625,0.0029296875,36,0.0003560080080800732,0.0003560080080800732,0,0.0003560080080800732,65:68;67:68,65:0.0032642192133001124;67:0.0026393847809711712,65:0.0021057455768131728;67:0.0018329144839089595
67,302.26753944415003,91.61057578363803,0.0712890625,0.136474609375,36,0.00022523163283611833,0.00022523163283611833,0,0.00022523163283611833,68:68;57:68;66:68,68:0.004095874490266133;57:0.002155396255296871;66:0.0026393847809711712,68:0.004166684052516079;57:0.002443027557046229;66:0.0018329144839089595
68,132.5747211343408,17.747234226524494,0.02001953125,0.00244140625,36,0.000563538200269712,0.000563538200269712,0,0.000563538200269712,67:68;69:68,67:0.004095874490266133;69:0.003182453109192962,67:0.004166684052516079;69:0.002410010567508336
69,113.04999587767774,46.27900630638546,0.044921875,0.015380859375,36,0.0001835890474498975,0.0001835890474498975,0,0.0001835890474498975,78:68;68:68;70:80,78:0.0018148335234815793;68:0.003182453109192962;70:0.0017949383588743983,78:0.0017938110438102672;68:0.002410010567508336;70:0.0017772031939884692
70,110.10920045792717,21.37512596736506,0.030517578125,0.007080078125,36,0.0003516465352930312,0.0003516465352930312,0,0.0003516465352930312,69:80;71:68,69:0.0017949383588743983;71:0.0020261929154512803,69:0.0017772031939884692;71:0.0016437641028062
71,173.02997907978573,164.3653449657381,0.015380859375,0.0009765625,36,0.00047090432928359406,0.00047090432928359406,0,0.00047090432928359406,72:68;58:68;70:68,72:0.003572758621648353;58:0.0017271178722420566;70:0.0020261929154512803,72:0.002347428197513851;58:0.0038240091788787622;70:0.0016437641028062
