Qubit,T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
30,133.97207476693262,0.021728515625,0.0078125,36,0.0003786412553826,0.0003786412553826,0,0.0003786412553826,31:68;29:68,31:0.002612276412178288;29:0.002580368250780868,31:0.001734221449259249;29:0.0017872403664024317
31,73.81447336611309,0.03515625,0.06494140625,36,0.000377369682725,0.000377369682725,0,0.000377369682725,30:68;32:68;18:68,30:0.002612276412178288;32:0.0026705136823510778;18:0.002311864334323649,30:0.001734221449259249;32:0.001628145170628592;18:0.0019451574606111355
32,33.350701115498474,0.009765625,0.0087890625,36,0.0002890955878258,0.0002890955878258,0,0.0002890955878258,31:68;33:68,31:0.0026705136823510778;33:0.0031948469632852305,31:0.001628145170628592;33:0.0017804663685313804
33,132.84086398531068,0.025146484375,0.000244140625,36,0.0002846913375073,0.0002846913375073,0,0.0002846913375073,39:68;32:68;34:68,39:0.0016904146732451553;32:0.0031948469632852305;34:0.0020379652455427,39:0.12998080652269992;32:0.0017804663685313804;34:0.0021005345445846146
34,150.56566223988585,0.012939453125,0.00048828125,36,0.0002876083937552,0.0002876083937552,0,0.0002876083937552,33:68;35:68,33:0.0020379652455427;35:0.0014174280339120382,33:0.0021005345445846146;35:0.0012161360194301585
35,531.6525230814847,0.019287109375,0.0380859375,36,0.0001788990981871,0.0001788990981871,0,0.0001788990981871,19:80;34:68,19:0.0016822215909340632;34:0.0014174280339120382,19:0.0014365124842245225;34:0.0012161360194301585
36,116.12611441138398,0.044677734375,0.003662109375,36,0.0017256926147179,0.0017256926147179,0,0.0017256926147179,41:68;21:68,41:0.0035173163717467926;21:0.003287940682544177,41:0.00235961470768159;21:0.00240864909847599
37,14.018372873980924,0.015869140625,0.005126953125,36,0.000430531268033,0.000430531268033,0,0.000430531268033,45:68;25:68,45:0.004052317352922025;25:0.004067165677494572,45:0.004178338221221906;25:0.003814279694266537
38,65.41637906921831,0.012939453125,0.0029296875,36,0.0003150668376854,0.0003150668376854,0,0.0003150668376854,29:68;49:68,29:0.0032566241605495594;49:0.0032501461063180193,29:0.002589138225368076;49:0.0020707773527877116
39,164.6976975237252,0.034423828125,0.009521484375,36,0.0004129889723824,0.0004129889723824,0,0.0004129889723824,53:68;33:68,53:0.00186111096576283;33:0.0016904146732451553,53:0.0016666876278957632;33:0.12998080652269992
40,85.8114010631615,0.015625,0.012939453125,36,0.0004759198566029,0.0004759198566029,0,0.0004759198566029,41:68,41:0.12736938212920157,41:0.09777406473452982
